Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.983145,1425.386741,839.5720299,791.6469962,855.0810409,928.0924966,989.6423432,1031.098259,1116.907192,1166.187962,1249.612129,1385.044794,1582.057622,1815.788224,2018.460141,2312.982861,2636.256648,3019.465561,3250.498611,2810.192841,2889.566228,3043.262786,3278.670448,3402.083855,3538.529392,3666.141822,3689.830082,3985.916698,4215.899394,4561.967799,4256.131228,4526.597489,5116.205756
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12804.43584,12980.7223,13105.16908,13136.48008,12690.52911,13029.61628,12795.02456,12378.17019,12532.31112,12656.68814,12247.63529,12098.27515,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14214.64646,14464.81405,14969.05994
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,6085.88428,6331.731216,6813.661661,7337.953004,7595.999271,7571.583472,7956.135993,8771.045349,9487.061935,10632.40939,11400.19644,12064.07008,12766.74783,13215.20782,13437.91538,13378.09934,13833.06867,14484.28697,13584.27346,14190.9743,14669.01619,15076.3926,15370.82809,16055.95374,15092.46927,15053.9663,15788.7402,16516.08661,17380.98602,19341.32815,20854.06244,20541.75334,17809.93268,16191.15676,15684.78139,15739.03484,15668.43551,15882.30926,15985.54114,16526.43614,16830.39626,17901.04091,18357.67882,14803.76951,15921.09512,17335.04704
Australia,AUS,19904.94341,19997.2294,19767.65233,20597.64431,21607.25165,22455.04559,22470.26841,23587.40829,24355.41154,25531.2885,26829.52862,26975.44556,27519.72268,27812.09599,28230.72647,28257.95551,28700.28501,29398.99989,29318.71186,30178.35571,30717.75614,31251.76831,31735.93923,30608.22944,31631.63089,32860.65131,33673.19339,34014.71982,35388.13037,36143.63528,36887.25166,36280.98346,36030.48625,37155.98431,38264.38162,39309.99466,40336.29915,41463.64566,42966.7934,44636.02425,45858.58009,46190.38121,47485.34109,48393.13672,49901.0153,50852.1612,51552.89383,52530.70189,53335.0057,53235.92358,53581.15858,54114.72619,55261.91838,55734.57434,56341.13415,56758.8692,57432.18029,57804.05091,58600.79036,59000.73544,58082.42658,59225.52454,60993.64125
Austria,AUT,12051.15117,12648.9747,12904.66988,13352.65113,14076.27616,14471.82132,15181.58876,15521.80965,16132.00952,17085.32997,18101.99195,18943.18115,20002.55611,20864.84746,21650.4868,21629.0463,22659.31778,23801.26754,23770.36624,25086.40019,25520.74056,25419.00965,25911.66094,26725.19072,26740.57724,27395.87265,28008.55459,28370.71788,29264.32358,30265.19323,31340.68129,32097.24109,32410.53977,32313.71187,32962.81742,33790.48499,34537.73957,35220.88774,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46616.35917,43343.9719,44984.41974,46697.85652
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.840103,2764.073993,2107.296784,1596.132666,1264.527189,1102.49789,1105.587242,1158.481658,1262.291887,1343.855939,1480.808691,1614.848858,1754.135241,1918.611037,2077.88527,2631.851453,3501.164825,4327.113605,4693.07708,5023.967291,5215.204154,5152.838502,5194.920917,5426.095942,5506.181696,5500.503646,5270.738166,5229.70989,5262.368705,5348.453189,5083.560254,5345.439864,5590.004396
Burundi,BDI,290.7332323,244.5934102,260.1623828,265.3398634,274.07449,277.1879515,283.1420824,314.2932545,306.0751423,295.2636046,350.7127782,351.8723507,329.603111,353.0736506,342.0242097,336.2171918,355.185954,386.191748,371.9538718,369.1874239,357.6831341,385.2952784,371.997224,375.6770064,367.2662326,401.7672068,407.1173264,419.856054,431.4372981,428.9714153,435.070943,447.7448573,440.5918567,427.068998,408.4193162,354.1161809,325.9119164,321.0896907,330.1289307,319.1358008,310.0067109,308.645199,313.4864059,300.086153,303.11967,294.7387734,299.7691208,298.9366604,300.8413492,296.8470949,297.7917271,299.0171757,301.4813193,305.2908352,307.7655313,289.3596272,282.9759666,277.9598031,274.1319085,270.1372774,263.3609887,264.3648329,262.1848047
Belgium,BEL,11734.30617,12277.63472,12866.22877,13326.11327,14118.90232,14489.4451,14846.09735,15334.76789,15915.19565,16922.35438,17849.49471,18527.14874,19432.03103,20607.18091,21480.26132,20997.20683,22144.52361,22255.68441,22866.82323,23381.12724,24393.29818,24325.81328,24477.19988,24555.48097,25161.49098,25569.48933,26026.2805,26603.9281,27772.05205,28631.31909,29441.66215,29870.14777,30204.56375,29797.40632,30664.30785,31329.89207,31681.93636,32804.36054,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43098.47506,40655.55715,43262.43159,44184.68529
Benin,BEN,657.2189415,667.5197086,634.185933,652.9089598,684.006879,706.9956759,718.4122419,712.090361,724.8012367,730.5617469,730.5233477,704.458103,733.5709844,744.0288108,751.6637186,698.4851507,688.0399097,704.7878625,695.8809954,722.3994964,750.9600069,803.165084,798.2682395,742.1193272,778.2914483,812.9483203,806.5404339,771.1611554,773.8469744,729.408784,771.075864,779.423309,778.2552682,787.8191187,774.2629219,804.350333,817.8497352,839.9516967,847.0744875,865.4525625,888.7301846,908.347703,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549935,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.362032,1111.227247,1153.72621,1164.708967,1214.07759,1255.607293
Burkina Faso,BFA,243.9305055,250.1562781,261.6243272,254.473938,256.3122977,261.7424614,258.8898774,277.0913121,280.7802494,281.6063659,277.1168308,276.3004481,277.9398729,274.346714,291.6305029,294.4878718,312.9275781,306.9005645,313.1738205,316.3701108,310.4725769,315.0163427,335.8013182,327.5955605,312.62417,329.5699937,345.8774314,335.7669346,345.8485632,344.0903665,333.1715948,354.3218884,346.507269,349.7019761,345.4817026,355.9879411,385.2291999,399.1849998,416.7416997,434.6583922,429.8473722,444.5497549,449.8539312,470.1295825,476.0099809,501.2072502,516.1767677,521.3452592,535.5836447,535.5168345,563.9267767,583.6794771,602.7867588,618.8045832,626.6262508,632.1266858,650.4172609,671.2517963,696.0445708,714.6460001,709.0577501,738.4186601,732.5703234
